Codigo,Nombre,Area,Programas
MA0101,Matemática general,CIB,
CI0205,Prueba avanzada de inglés,CYD,
MA1102,Cálculo diferencial e integral,CIB,
FI1101,Física general I,CIB,
FI1201,Laboratorio de física general I,CIB,
QU1106,Química básica I,CIB,
QU1102,Laboratorio de química básica I,CIB,
IEM2101,Dibujo técnico,CYD,"Ingeniería en Mantenimiento Industrial;2
Ingeniería en Electrónica;1
Ingeniería en Producción Industrial;1
Ingeniería Mecatrónica;3
Ingeniería en Materiales;4"
CS1502,Introducción a la técnica ciencia y tecnología,FPH,
CI1106,Comunicación escrita,CYD,

MA1103,Cálculo y álgebra lineal,
MA2104,Cálculo superior,
MA2105,Ecuaciones diferenciales,
ME2208,Ciencia e ingeniería de los materiales,
ME3208,Tecnología de materiales,
ME3209,Laboratorio de tecnología de materiales,
MI8304,Maquinas y equipos para ingeniería en seguridad laboral e higiene ambiental,
MT6001,Probabilidad y procesos estocásticos,
PI2609,Probabilidad y estadística,

QU1104,Laboratorio de química básica II,

QU1107,Química básica II,
SE1100,Actividad cultural I,
SE1200,Actividad deportiva I,
SE1400,Actividad cultural - deportiva,
SO2601,Fundamentos de seguridad e higiene ocupacional,
AE4208,Desarrollo de emprendedores,
AE5121,Ingeniería económica,
CA2125,Elementos de computación,
CA21XX,Introducción a la computación,

CI0200,Examen de diagnóstico,
CI0202,Ingles básico,

CI1107,Comunicación oral,
CI1230,Inglés I,
CI1231,Inglés II,
CM3207,Métodos numéricos,
CM4108,Transferencia de calor,
CS1302,Derecho laboral,

CS2303,Relaciones laborales,
CS3404,Seminario de ética en ingeniería,
CS4402,Seminario de estudios costarricenses,
FH1000,Centros de formación humanistica,

FI1102,Física general II,
FI1103,Física general III,

FI1202,Laboratorio de física general II,
FI2103,Física general III,
FI2201,Laboratorio de física general I,
IA0001,Dispositivos analógicos,
IA0002,Examen Inglés,
IA0003,Dispositivos digitales ,
IA0004,Laboratorio de dispositivos analógicos y digitales,
IA0005,Teoría de máquinas y mecanismos,
IA0006,Métodos numéricos para electromecánica,
IA0007,Elementos de máquinas y dispositivos de elevación y transporte,
IA0008,Diseño electromecánico industrial,
IA0009,Sensores y actuadores para aeronaútica,
IA0010,Sistemas de control automático,

IEM2102,Estática,,"Ingeniería en Mantenimiento Industrial;3
Ingeniería Electromecánica;3
Ingeniería en Producción Industrial;4
Ingeniería Mecatrónica;4
Ingeniería Física;3
Ingeniería en Materiales;4"
IEM2103,Dinámica,
IEM2104,Termodinámica,
IEM2105,Manufactura,
IEM2106,Transferencia de calor,
IEM2107,Resistencia de materiales,
IEM2108,Dibujo industrial,
IEM2109,Mecánica de fluidos,
IEM2110,Máquinas y mecanismos,
IEM2111,Turbomáquinas,
IEM2112,Elementos de máquinas,
IEM2113,Sistemas térmicos,
IEM2114,Diseño mecánico,
IEM2115,Fundamentos de refrigeración y aire acondicionado,
IEM2155,Laboratorio de manufactura,
IEM2159,Laboratorio de mecánica de fluidos,
IEM2161,Laboratorio de turbomáquinas,
IEM2163,Laboratorio de sistemas térmicos,
IEM2201,Análisis de circuitos I,
IEM2202,Análisis de circuitos II,
IEM2203,Sistemas analógicos,
IEM2204,Sistemas digitales,
IEM2205,Máquinas eléctricas I,
IEM2206,Máquinas eléctricas II,
IEM2207,Sistemas de potencia,
IEM2208,Instalaciones eléctricas,
IEM2251,Laboratorio de circuitos I,,"Ingeniería Electromecánica;3
Ingeniería Aeronaútica con énfasis en Mantenimiento;3"
IEM2252,Laboratorio de circuitos II,
IEM2255,Laboratorio de máquinas eléctricas I,
IEM2256,Laboratorio de máquinas eléctricas II,
IEM2301,Transductores,,"Ingeniería Electromecánica;3
Ingeniería Aeronaútica con énfasis en Mantenimiento;8"
IEM2302,Instrumentación,,Ingeniería Electromecánica;4
IEM2303,Modelado y simulación de sistemas electromecánicos,
IEM2304,Fundamentos de gestión de proyectos,
IEM2305,Gestión de la ingeniería electromecánica,
IEM2306,Control automático,
IEM2307,Microprocesadores
IEM2308,Control por eventos discretos,
IEM2309,Gestión de la energía,
IEM2310,Diseño e integración de sistemas electromecánicos,
IEM2311,Automatización,
IEM2352,Laboratorio de instrumentación,
IEM2358,Laboratorio de control,
IEM2360,Laboratorio de diseño e integración de sistemas electromecánicos,
IEM2400,Metodología de la investigación,
IEM2401,Electiva I,
IEM2402,Electiva II,
IEM2403,TFG,
IEM2501,Geometría descriptiva,
IEM2502,Dibujo aeronáutico,
IEM2503,Materiales de avición y hardware,
IEM2504,Termodinámica y transferencia de calor,
IEM2505,Examen inglés,
IEM2507,Sistemas de aeronaves,
IEM2508,Ingeniería en mantenimiento aeronáutico,
IEM2509,Aviónica,
IEM2510,Métodos numéricos para electromecánica,
IEM2511,Sistemas de propulsión,
IEM2512,Aerodinámica y dinámica de vuelo,
IEM2513,Taller de mediciones para aeronáutica,
IEM2514,Elementos de máquinas y dispositivos de elevación y transporte,
IEM2515,Ingeniería en mantenimiento aviónico,
IEM2516,Fundamentos del motor de reacción,
IEM2517,Análisis matricial de estructuras del avión,
IEM2518,Electiva I,
IEM2519,Diseño eléctrico aeroportuario,
IEM2520,Sistemas de control automático,
IEM2521,Aeromecánica,
IEM2522,Fundamentos de la construcción y fuerzas actuantes de las estructuras aeronáuticas,
IEM2523,Electiva II,
IEM2524,Seguridad de vuelos y del ambiente,
IEM2525,Proyecto final de graduación,
